"lakename","year","season","MUFA_perc","PUFA_perc","SAFA_perc","perc_c18.2w6","perc_c18.3w6","perc_c18.3w3","perc_c18.4w3","perc_c18.5w3","perc_c20.4w6","perc_c20.5w3","perc_c22.6w3"
"Lake Monona",2008,"iceoff",21.0505264560999,35.1227121933979,40.4761166697389,11.5854716283687,2.15110988095946,16.8263386026744,0.922442943178938,0.0533904789695838,0.00317188182012137,0.143155736702377,0.0248009406992037
"Lake Monona",2008,"iceon",22.2495900640213,38.5699289862981,36.6529229344027,10.7260027739628,1.87514003541385,18.4094075085771,1.66981152690388,1.24186033441347,0.0246395938765222,0.236704341721073,0.078825970659291
"Lake Monona",2010,"iceoff",21.0316666042152,35.1900716834467,40.4367063132261,11.5819838799588,2.1483511586406,16.866867038882,0.938537393852722,0.0558672436628095,0.00291224534073161,0.141274470425864,0.0249128487947607
"Lake Monona",2010,"iceon",20.0136473145989,42.1122730080948,35.4411399035822,9.88490899472066,1.69893931277158,18.575549776378,4.55876511834033,1.62905692980201,0.126742862474704,1.13204308917458,0.591223958272239
"Lake Monona",2011,"iceoff",21.0173459497568,35.212037622769,40.4299667955112,11.5792413082948,2.14752808784024,16.8729912113948,0.952029554945795,0.0561188807857333,0.00323666083436428,0.144336353547433,0.0268936652257014
"Lake Monona",2011,"iceon",20.8531010375546,35.6825764347916,40.1657540915099,11.4703768497915,2.1204750193173,16.9605525480628,1.24606614367291,0.135783559251378,0.0131566723836759,0.227969468341649,0.075189902432719
"Lake Monona",2013,"iceoff",21.0967810986225,35.3511800539818,40.2480122629346,11.5245496520727,2.13339648588195,16.9079233979027,1.00060013464102,0.127776160787729,0.00592573023079789,0.161598448098548,0.0349789641266253
"Lake Monona",2013,"iceon",21.6593056009323,37.8516886010544,37.7249769854279,10.9609766328533,1.94854012585249,18.0470817185995,1.62368125729902,0.869564884374086,0.0213266872585436,0.241224492561625,0.0860577134775219
"Lake Santo Parmense",1973,"iceoff",14.8590995961804,60.7933998349288,23.8408022226993,5.30777611325775,0.557901214339341,22.1164392853323,15.8512309608311,5.31757141444845,0.519902149469937,4.38835831557312,2.45011142740756
"Lake Santo Parmense",1973,"iceon",20.3127676815705,54.1043540439258,25.1927979851676,7.04967588011635,0.869944350475347,22.6825460379374,9.32164074574646,4.74322553774217,0.276863061990657,2.23656446099634,1.23444694803703
"Lake Valkea-Kotinen",1991,"iceoff",36.645590088198,38.4542651435022,24.526714272955,4.99705296002221,0.859494425101668,12.4772609068386,3.45138092989301,9.28874706689546,0.412997205588602,2.77804465768615,1.01813724454628
"Lake Valkea-Kotinen",1991,"iceon",25.0729991256127,47.9031250431265,26.599636209457,8.2060920347694,1.12055687518413,22.0930478318538,4.32931494484609,4.52159604265112,0.118151231966655,0.79577410354683,0.381689410148794
"Lake Valkea-Kotinen",1992,"iceoff",23.6526396753846,51.1414133201797,24.7689560622242,6.04547557684361,0.796882502854629,19.54247695215,9.22581800601077,6.16976444076729,0.376175261422638,2.92626441579812,1.47282490852976
"Lake Valkea-Kotinen",1992,"iceon",14.4428311642467,60.5999909765981,24.3242880376474,5.33412389643232,0.58148800571484,21.8247078619251,16.0724717017538,5.18854238768862,0.53013037909012,4.49099324842242,2.50635243287762
"Lake Vanajanselka",2009,"iceoff",30.6979659735839,44.3176465244903,24.3744657434835,4.18446249539459,0.694584601420413,12.9893035623463,8.55494819635598,8.93273616156136,0.562392024631313,4.19685598691499,1.88095898614886
"Lake Vanajanselka",2009,"iceon",23.5949093572464,50.5434275557102,25.1541234666632,5.24578640703068,0.742072939435616,17.3025872240977,10.8083130764649,6.78255060987859,0.491498732962742,3.8713315891105,1.9258958165058
"Scharmuetzelsee",2002,"iceoff",21.0119219679177,35.1136038757953,40.516498198372,11.6030513854357,2.15447653751463,16.8391047016281,0.91379436984595,0.0294282782808548,0.00200803539447626,0.1354265706722,0.0217494967372327
